FID,Id,ORIG_FID,FID_FTroad,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Leng,level,Shape_Le_1,POINT_X,POINT_Y
0,0,0,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001826724,114.0463446,22.50543806
1,0,1,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001827208,114.048171,22.50546222
2,0,2,1730,958849681,5114,secondary,桃花路, ,B,0,0,F,F,0.003654999,1,0.001811647,114.0499774,22.50559147
3,0,3,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001734354,114.0445307,22.50561598
4,0,4,1730,958849681,5114,secondary,桃花路, ,B,0,0,F,F,0.003654999,1,0.001798871,114.051762,22.50581415
5,0,5,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001796991,114.042843,22.50600739
6,0,6,1694,916588752,5114,secondary,桃花路, ,B,0,0,F,F,0.002852348,1,0.001793223,114.0535234,22.50614679
7,0,7,1694,916588752,5114,secondary,桃花路, ,B,0,0,F,F,0.002852348,1,0.001103585,114.0545993,22.50639194
8,0,8,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001666901,114.0411263,22.50653751
9,0,9,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001622656,114.0395399,22.50704927
10,0,10,1695,916588753,5114,secondary,桃花路, ,B,0,0,F,F,0.013325446,1,0.001566619,114.0379993,22.50755839
11,0,11,887,477810546,5115,tertiary,海虹道, ,F,0,0,F,F,0.005287698,1,0.00259098,114.0472875,22.50704596
12,0,11,887,477810546,5115,tertiary,海虹道, ,F,0,0,F,F,0.005287698,1,0.00259098,114.0473066,22.50607242
13,0,12,365,46898375,5115,tertiary,红柳道, ,F,0,0,F,F,0.00496806,1,0.002594806,114.0455833,22.50708743
14,0,12,365,46898375,5115,tertiary,红柳道, ,F,0,0,F,F,0.00496806,1,0.002594806,114.04553,22.50611516
15,0,13,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001632495,114.0462951,22.50804348
16,0,14,1693,916588751,5115,tertiary,金花路, ,F,0,0,F,F,0.019968431,1,0.001656844,114.047951,22.50804768
17,0,15,1692,916588748,5115,tertiary,槟榔道, ,F,0,0,F,F,0.004055631,1,0.00259104,114.0490063,22.50712299
18,0,15,1692,916588748,5115,tertiary,槟榔道, ,F,0,0,F,F,0.004055631,1,0.00259104,114.0490889,22.50615278
